,addresses
frax-share,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0'}, 'polygon-zkevm': {'decimal_place': 18, 'contract_address': '0x6b856a14cea1d7dcfaf80fa6936c0b75972ccace'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xe48a3d7d0bc88d552f730b62c006bc925eadb9ee'}, 'solana': {'decimal_place': 18, 'contract_address': '6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x9d2f299715d94d8a7e6f5eaa8e654e8c74a988a7'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x1a3acf6d19267e2d3e7f898f42803e90c9219062'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x214db107654ff987ad859f34125307783fc8e387'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x7d016eec9c25232b01f23ef992d98ca97fc2af5a'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x0767d8e1b05efa8d6a301a65b324b6b66a1cc14c'}, 'moonriver': {'decimal_place': 18, 'contract_address': '0x6f1d1ee50846fcbc3de91723e61cb68cfa6d0e98'}, 'evmos': {'decimal_place': 18, 'contract_address': '0xd8176865dd0d672c6ab4a427572f80a72b4b4a9c'}}"
green-planet,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xb3cb6d2f8f2fde203a022201c81a96c167607f15'}}"
gamma-strategies,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6bea7cfef803d1e3d5f7c0103f7ded065644e197'}}"
gard,"{'algorand': {'decimal_place': 6, 'contract_address': '684649988'}}"
globiance-exchange,"{'xdc-network': {'decimal_place': 18, 'contract_address': 'xdc34514748f86a8da01ef082306b6d6e738f777f5a'}}"
gdx-token,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x2f27118e3d2332afb7d165140cf1bb127ea6975d'}}"
gearbox,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xba3335588d9403515223f109edc4eb7269a9ab5d'}}"
geist-finance,"{'fantom': {'decimal_place': 18, 'contract_address': '0xd8321aa83fb0a4ecd6348d4577431310a6e0814d'}}"
gravity-finance,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x874e178a2f3f3f9d34db862453cd756e7eab0381'}}"
goldfinch,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b'}}"
gogopool,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x69260b9483f9871ca57f81a90d91e2f96c2cd11d'}}"
ghast,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xeca66820ed807c096e1bd7a1a091cd3d3152cc79'}}"
grizzly-honey,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa045e37a0d1dd3a45fefb8803d22457abc0a728a'}}"
aavegotchi,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3f382dbd960e3a9bbceae22651e88158d2791550'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7'}, 'energi': {'decimal_place': 18, 'contract_address': '0x4bd75f8c7e067ea9b6e2dfbecd99d805396bc5ff'}}"
glacier,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x3712871408a829c5cd4e86da1f4ce727efcd28f6'}}"
glide-finance,"{'elastos': {'decimal_place': 18, 'contract_address': '0xd39ec832ff1caafab2729c76ddeac967abca8f27'}}"
beamswap,"{'moonbeam': {'decimal_place': 18, 'contract_address': '0xcd3b51d98478d53f4515a306be565c6eebef1d58'}}"
gmd-protocol,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x4945970efeec98d393b4b979b9be265a3ae28a8b'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x1fe70939c2cec8f31e8f7729442658586b469972'}}"
gmx,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x62edc0692bd897d2295872a9ffcac5425011c661'}}"
gnd-protocol,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd67a097dce9d4474737e6871684ae3c05460f571'}}"
gains-network,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xe5417af564e4bfda1c483642db72007871397896'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x18c11fd286c5ec11c3b683caa813b77f5163a122'}}"
golff,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x488e0369f9bc5c40c002ea7c1fe4fd01a198801c'}}"
gogocoin,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xdd2af2e723547088d3846841fbdcc6a8093313d6'}}"
goledo,"{'conflux': {'decimal_place': 18, 'contract_address': '0xa4b59aa3de2af57959c23e2c9c89a2fcb408ce6a'}}"
govi,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xeeaa40b28a2d1b0b08f6f97bb1dd4b75316c6107'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x07e49d5de43dda6162fa28d24d5935c151875283'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x43df9c0a1156c96cea98737b511ac89d0e2a1f46'}}"
grai,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x15f74458ae0bfdaa1a96ca1aa779d715cc1eefe4'}}"
camelot-token,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x3d9907f9a368ad0a51be60f7da3b97cf940982d8'}}"
gro-dao-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7'}}"
helmet-insure,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x948d2a81086a075b3130bac19e4c6dee1d2e3fe8'}}"
geyser,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbea98c05eeae2f3bc8c3565db7551eb738c8ccab'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc48f61a288a08f1b80c2edd74652e1276b6a168c'}}"
hakka-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd'}}"
kava-lend,"{'kava': {'decimal_place': None, 'contract_address': ''}, 'energi': {'decimal_place': 18, 'contract_address': '0xeeaccbb6ce1b5be68a2cf9d0dea27d4b807848d2'}}"
hashdao-token,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x2e80259c9071b6176205ff5f5eb6f7ec8361b93f'}}"
hawksight,"{'solana': {'decimal_place': 6, 'contract_address': 'BKipkearSqAUdNKa1WDstvcMjoPsSKBuNyvKDQDDu9WE'}}"
helio-protocol-hay,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x0782b6d8c4551b9760e74c0545a9bcd90bdc41e5'}}"
hubble,"{'solana': {'decimal_place': 6, 'contract_address': 'HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6'}}"
hurricaneswap-token,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x45c13620b55c35a5f539d26e88247011eb10fdbd'}}"
hedge-protocol,"{'solana': {'decimal_place': 9, 'contract_address': '5PmpMzWjraf3kSsGEKtqdUsCoLhptg4yriZ17LKKdBBy'}}"
hebeblock,"{'ethereum-classic': {'decimal_place': 18, 'contract_address': '0x88d8c3dc6b5324f34e8cf229a93e197048671abd'}}"
hector-dao,"{'fantom': {'decimal_place': 9, 'contract_address': '0x5c4fdfc5233f935f20d2adba572f770c2e377ab0'}, 'binance-smart-chain': {'decimal_place': 9, 'contract_address': '0x638eebe886b0e9e7c6929e69490064a6c94d204d'}}"
hegic,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x584bc13c7d411c00c01a62e8019472de68768430'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x44b26e839eb3572c5e959f994804a5de66600349'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x431402e8b9de9aa016c743880e04e517074d8cec'}, 'energi': {'decimal_place': 18, 'contract_address': '0x762204d444123bcc511718a24158a86e3d853266'}}"
hermes-protocol,"{'metis-andromeda': {'decimal_place': 18, 'contract_address': '0xb27bbeaaca2c00d6258c3118bab6b5b6975161c8'}}"
hecofi,"{'huobi-token': {'decimal_place': 18, 'contract_address': '0x98fc3b60ed4a504f588342a53746405e355f9347'}}"
hashflow,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb3999f658c0391d94a37f7ff328f3fec942bcadc'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x44ec807ce2f4a6f2737a92e985f318d035883e47'}}"
hmx,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x83d6c8c06ac276465e4c92e7ac8c23740f435140'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x83d6c8c06ac276465e4c92e7ac8c23740f435140'}}"
hundred-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x10010078a54396f62c96df8532dc2b4847d47ed3'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x10010078a54396f62c96df8532dc2b4847d47ed3'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x10010078a54396f62c96df8532dc2b4847d47ed3'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x10010078a54396f62c96df8532dc2b4847d47ed3'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x10010078a54396f62c96df8532dc2b4847d47ed3'}}"
honey,"{'xdai': {'decimal_place': 18, 'contract_address': '0x71850b7e9ee3f13ab46d67167341e4bdc905eef9'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xc3589f56b6869824804a5ea29f2c9886af1b0fce'}}"
hop-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc'}, 'base': {'decimal_place': 18, 'contract_address': '0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc'}, 'xdai': {'decimal_place': 18, 'contract_address': '0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc'}}"
hord,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x43a96962254855f16b925556f9e97be436a43448'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xb1bc21f748ae2be95674876710bc6d78235480e0'}}"
hummus,"{'metis-andromeda': {'decimal_place': 18, 'contract_address': '0x4aac94985cd83be30164dfe7e9af7c054d7d2121'}}"
horizon-protocol,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xc0eff7749b125444953ef89682201fb8c6a917cd'}}"
iron-bank,"{'fantom': {'decimal_place': 18, 'contract_address': '0x00a35fd824c717879bf370e70ac6868b95870dfb'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x00a35fd824c717879bf370e70ac6868b95870dfb'}}"
ibc-index,"{'osmosis': {'decimal_place': None, 'contract_address': 'osmo14klwqgkmackvx2tqa0trtg69dmy0nrg4ntq4gjgw2za4734r5seqjqm4gm'}}"
impermax-2,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf972daced7c6b03223710c11413036d17eb298f6'}, 'canto': {'decimal_place': 18, 'contract_address': '0xfbdd194376de19a88118e84e279b977f165d01b8'}, 'zksync': {'decimal_place': None, 'contract_address': '0xbe9f8c0d6f0fd7e46cdacca340747ea2f247991d'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x56659245931cb6920e39c189d2a0e7dd0da2d57b'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x089d3daf549f99553c2182db24bc4336a4f0c824'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xf655c8567e0f213e6c634cd2a68d992152161dc6'}}"
icecream,"{'bitgert': {'decimal_place': 18, 'contract_address': '0xb999ea90607a826a3e6e6646b404c3c7d11fa39d'}, 'fuse': {'decimal_place': 18, 'contract_address': '0x867f08a3ab824b42e8058a1b48e32e1df205b092'}, 'xdc-network': {'decimal_place': 18, 'contract_address': 'xdc54051d9dbe99687867090d95fe15c3d3e35512ba'}, 'dogechain': {'decimal_place': 18, 'contract_address': '0x81bcea03678d1cef4830942227720d542aa15817'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xce6c9c70f91c6797873efc80505f972290a88f5d'}}"
ice-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf16e81dce15b08f326220742020379b855b87df9'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x4e1581f01046efdd7a1a2cdb0f82cdd7f71f2e59'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xf16e81dce15b08f326220742020379b855b87df9'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf16e81dce15b08f326220742020379b855b87df9'}}"
aurora-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb705268213d593b8fd88d3fdeff93aff5cbdcfae'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x9cb74c8032b007466865f060ad2c46145d45553d'}}"
idle,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x875773784af8135ea0ef43b5a374aad105c5d39e'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc25351811983818c9fe6d8c580531819c8ade90f'}}"
impossible-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xb0e1fc65c1a741b4662b813eb787d369b8614af1'}}"
immutable-x,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf57e7e7c23978c3caec3c3548e3d615c346e79ff'}}"
index-cooperative,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0954906da0bf32d5479e25f46056d22f08464cab'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xfbd8a3b908e764dbcd51e27992464b4432a1132b'}}"
indigo-dao-governance-token,"{'cardano': {'decimal_place': 6, 'contract_address': '533bb94a8850ee3ccbe483106489399112b74c905342cb1792a797a0'}}"
injective-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xe28b3b32b6c345a34ff64674606124dd5aceca30'}, 'cosmos': {'decimal_place': None, 'contract_address': 'inj'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa2b726b1145a4773f68593cf171187d8ebe4d495'}}"
instadapp,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6f40d4a6237c257fff2db00fa0510deeecd303eb'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf50d05a1402d0adafa880d36050736f9f6ee7dee'}}"
insurace,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x544c42fbb96b39b21df61cf322b5edc285ee7429'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x3192ccddf1cdce4ff055ebc80f3f0231b86a7e30'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x8a0e8b4b0903929f47c3ea30973940d4a9702067'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x544c42fbb96b39b21df61cf322b5edc285ee7429'}}"
insuredao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd83ae04c9ed29d6d3e6bf720c71bc7beb424393e'}}"
interlay,"{'': {'decimal_place': None, 'contract_address': ''}}"
inverse-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68'}}"
ion,"{'osmosis': {'decimal_place': None, 'contract_address': 'uion'}}"
ipor,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1e4746dc744503b53b4a082cb3607b169a289090'}}"
iron-stablecoin,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xd86b5923f3ad7b585ed81b448170ae026c65ae9a'}}"
integral,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd502f487e1841fdc805130e13eae80c61186bc98'}}"
interport-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x2b1d36f5b61addaf7da7ebbd11b35fd8cfb0de31'}}"
izumi-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9ad37205d608b8b219e6a2573f922094cec5c200'}, 'zksync': {'decimal_place': 18, 'contract_address': '0x16a9494e257703797d747540f01683952547ee5b'}}"
autoshark,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xdd97ab35e3c0820215bc85a395e13671d84ccba2'}}"
juicebox,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3abf2a4f8452ccc2cf7b4c1e4663147600646f66'}}"
jet,"{'solana': {'decimal_place': 9, 'contract_address': 'JET6zMJWkCN9tpRT2v2jfAmm5VnQFDpUBCyaKojmGtz'}}"
defi-kingdoms,"{'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x72cb10c6bfa5624dd07ef608027e366bd690048f'}}"
jswap-finance,"{'okex-chain': {'decimal_place': 18, 'contract_address': '0x5fac926bf1e638944bb16fb5b787b5ba4bc85b0a'}}"
justmoney-2,"{'tron': {'decimal_place': 8, 'contract_address': 'TVHH59uHVpHzLDMFFpUgCx2dNAQqCzPhcR'}, 'bittorrent': {'decimal_place': 8, 'contract_address': '0x388d819724dd6d71760a38f00dc01d310d879771'}, 'ethereum': {'decimal_place': 8, 'contract_address': '0x388d819724dd6d71760a38f00dc01d310d879771'}, 'binance-smart-chain': {'decimal_place': 8, 'contract_address': '0x388d819724dd6d71760a38f00dc01d310d879771'}, 'polygon-pos': {'decimal_place': 8, 'contract_address': '0x388d819724dd6d71760a38f00dc01d310d879771'}}"
joe,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07'}}"
jones-dao,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x10393c20975cf177a3513071bc110f7962cd67da'}}"
jpeg-d,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xe80c0cd204d654cebe8dd64a4857cab6be8345a3'}}"
jarvis-reward-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8a9c67fee641579deba04928c4bc45f66e26343a'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x414f9e74ba3a9d0acce65182809492f41ac671e0'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x6aa395f06986ea4efe0a4630c7865c1eb08d5e7e'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x15e770b95edd73fd96b02ece0266247d50895e76'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x596ebe76e2db4470966ea395b0d063ac6197a8c5'}}"
just,"{'tron': {'decimal_place': 18, 'contract_address': 'TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9'}}"
julswap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf5d8015d625be6f59b8073c8189bd51ba28792e1'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x504d7d5bd2075fa782fbd0be9bea4cdc7e25f5a1'}}"
jumbo-exchange,"{'near-protocol': {'decimal_place': None, 'contract_address': 'token.jumbo_exchange.near'}}"
kalmar,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4ba0057f784858a48fe351445c672ff2a3d43515'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x62aceea3e666c5706ce1c61055fac1a669d31d93'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x4f851750a3e6f80f1e1f89c67b56960bfc29a934'}}"
kdswap,"{'': {'decimal_place': None, 'contract_address': ''}}"
kaddex,"{'kardiachain': {'decimal_place': None, 'contract_address': ''}}"
kaidex,"{'kardiachain': {'decimal_place': 18, 'contract_address': '0xe9cac5d99375d02fb506be890011b2f57fc614e1'}}"
keep-network,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x85eee30c52b0b379b046fb0f85f4f3dc3009afec'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x43bf77db5e784b263a459141bdcdf5cf6987936d'}, 'energi': {'decimal_place': 18, 'contract_address': '0x9caa73156981600f4d276a10f80970a171abc1d1'}}"
knit-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xef53462838000184f35f7d991452e5f25110b207'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x1b41a1ba7722e6431b1a782327dbe466fe1ee9f9'}}"
kagla-finance,"{'astar': {'decimal_place': 18, 'contract_address': '0x257f1a047948f73158dadd03eb84b34498bcdc60'}}"
kibbleswap,"{'dogechain': {'decimal_place': 18, 'contract_address': '0x1e1026ba0810e6391b0f86afa8a9305c12713b66'}}"
kine-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xcbfef8fdd706cde6f208460f2bf39aa9c785f05d'}}"
kintsugi,"{'kusama': {'decimal_place': None, 'contract_address': ''}}"
klap-finance,"{'klay-token': {'decimal_place': 18, 'contract_address': '0xd109065ee17e2dc20b3472a4d4fb5907bd687d09'}}"
kleva,"{'klay-token': {'decimal_place': 18, 'contract_address': '0x5fff3a6c16c2208103f318f4713d4d90601a7313'}}"
kyber-network-crystal,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xe4dddfe67e7164b0fe14e218d80dc4c08edc01cb'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xa00e3a3511aac35ca78530c85007afcd31753819'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x39fc9e94caeacb435842fadedecb783589f50f5f'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x1e1085efaa63edfe74aad7c05a28eae4ef917c3f'}}"
kogecoin,"{'polygon-pos': {'decimal_place': 9, 'contract_address': '0x13748d548d95d78a3c83fe3f32604b4796cffa23'}}"
kokoa-finance,"{'klay-token': {'decimal_place': 18, 'contract_address': '0xb15183d0d4d5e86ba702ce9bb7b633376e7db29f'}}"
kokonut-swap,"{'polygon-zkevm': {'decimal_place': 18, 'contract_address': '0xf329bc8e21da7f278ce806e04c2266974edb1386'}, 'klay-token': {'decimal_place': 18, 'contract_address': '0xcd670d77f3dcab82d43dff9bd2c4b87339fb3560'}}"
keep3rv1,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x2a5062d22adcfaafbd5c541d4da82e4b450d4212'}, 'energi': {'decimal_place': 18, 'contract_address': '0x09f24e5e54db6705df1a1a71d2bd5eac0d692bea'}}"
kromatika,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3af33bef05c2dcb3c7288b77fe1c8d2aeba4d789'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x55ff62567f09906a85183b866df84bf599a4bf70'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xf98dcd95217e15e05d8638da4c91125e59590b07'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x14af1f2f02dccb1e43402339099a05a5e363b83c'}}"
klayswap-protocol,"{'klay-token': {'decimal_place': 18, 'contract_address': '0xc6a2ad8cc6e4a7e08fc37cc5954be07d499e7654'}}"
kyotoswap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x29abc4d03d133d8fd1f1c54318428353ce08727e'}}"
ktx-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x545356d4d69d8cd1213ee7e339867574738751ca'}}"
kujira,"{'osmosis': {'decimal_place': None, 'contract_address': 'ibc/BB6BCDB515050BAE97516111873CCD7BCF1FD0CCB723CC12F3C4F704D6C646CE'}, 'arbitrum-one': {'decimal_place': 6, 'contract_address': '0x3a18dcc9745edcd1ef33ecb93b0b6eba5671e7ca'}, 'optimistic-ethereum': {'decimal_place': 6, 'contract_address': '0x3a18dcc9745edcd1ef33ecb93b0b6eba5671e7ca'}, 'ethereum': {'decimal_place': 6, 'contract_address': '0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7'}}"
kuswap,"{'kucoin-community-chain': {'decimal_place': 18, 'contract_address': '0x4a81704d8c16d9fb0d7f61b747d0b5a272badf14'}}"
larix,"{'solana': {'decimal_place': 6, 'contract_address': 'Lrxqnh6ZHKbGy3dcrCED43nsoLkM1LTzU2jRfWe8qUC'}}"
law,"{'smartbch': {'decimal_place': 18, 'contract_address': '0x0b00366fbf7037e9d75e4a569ab27dab84759302'}}"
starlay-finance,"{'astar': {'decimal_place': 18, 'contract_address': '0xc4335b1b76fa6d52877b3046eca68f6e708a27dd'}}"
alternity-cny,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x7635b612792e4bfb7f2fa12a3e5d5a3f2e3c34bc'}}"
lido-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5a98fcbea516cf06857215779fd812ca3bef1b32'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xfdb794692724153d1488ccdbe0c56c252596735f'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc3c7d422809852031b44ab29eec9f1eff2a58756'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60'}}"
lendexe,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x53011e93f21ec7a74cdfbb7e6548f1abce306833'}}"
lfgswap-finance-core,"{'': {'decimal_place': None, 'contract_address': '0xf7a0b80681ec935d6dd9f3af9826e68b99897d6d'}}"
lunafi,"{'sx-network': {'decimal_place': 18, 'contract_address': '0x4c882ec256823ee773b25b414d36f92ef58a7c0c'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x77d97db5615dfe8a2d16b38eaa3f8f34524a0a74'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xb28f803a8772e6584a65ab6dfc535ae6fef8a0b2'}}"
lifinity,"{'solana': {'decimal_place': 6, 'contract_address': 'LFNTYraetVioAPnGJht4yNg2aUZFXR776cMeN9VMjXp'}}"
lien,"{'ethereum': {'decimal_place': 8, 'contract_address': '0xab37e1358b639fd877f015027bb62d3ddaa7557e'}, 'binance-smart-chain': {'decimal_place': 8, 'contract_address': '0x5d684adaf3fcfe9cfb5cede3abf02f0cdd1012e3'}}"
lif3,"{'fantom': {'decimal_place': 18, 'contract_address': '0xbf60e7414ef09026733c1e7de72e7393888c64da'}}"
linear,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3e9bc21c9b189c09df3ef1b824798658d5011937'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x762539b45a1dcce3d36d080f74d1aed37844b878'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x946c8286bd9b52b81f681903210e1a57872fdd85'}}"
linear-protocol,"{'near-protocol': {'decimal_place': 24, 'contract_address': 'linear-protocol.near'}, 'aurora': {'decimal_place': 24, 'contract_address': '0x918dbe087040a41b786f0da83190c293dae24749'}}"
liondex,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x8ebb85d53e6955e557b7c53acde1d42fd68561ec'}}"
