,addresses
boringdao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbc19712feb3a26080ebf6f2f7849b417fdd792ca'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xffeecbf8d7267757c2dc3d13d730e97e15bfdf7f'}}"
archerswap-bow,"{'core': {'decimal_place': 18, 'contract_address': '0x1a639e150d2210a4be4a5f0857a9151b241e7ae4'}}"
b-watch-box,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x045414e728067ab3da4bceafc0d992d59183463a'}, 'mixin-network': {'decimal_place': None, 'contract_address': 'f5ef6b5d-cc5a-3d90-b2c0-a2fd386e7a3c'}}"
defibox,"{'': {'decimal_place': None, 'contract_address': ''}}"
b-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbbbbbbb5aa847a2003fbc6b5c16df0bd1e725f61'}}"
octus-bridge,"{'everscale': {'decimal_place': 9, 'contract_address': '0:f2679d80b682974e065e03bf42bbee285ce7c587eb153b41d761ebfd954c45e1'}}"
brokkr,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x65031e28cb0e8cc21ae411f9dd22c9b1bd260ce4'}}"
burrow,"{'near-protocol': {'decimal_place': 18, 'contract_address': 'token.burrow.near'}}"
blockswap-network-2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x534d1f5e617e0f72a6b06a04aa599839af776a5e'}}"
bastion-protocol,"{'aurora': {'decimal_place': 18, 'contract_address': '0x9f1f933c660a1dc856f0e0fe058435879c5ccef0'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '059a1f1dea1020297588c316ffc30a58a1a0d4a2.factory.bridge.near'}}"
biswap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x965f527d9159dce6288a2219db51fc6eef120dd1'}}"
baseswap,"{'base': {'decimal_place': 18, 'contract_address': '0x78a087d713be963bf307b18f2ff8122ef9a63ae9'}}"
btc-standard-hashrate-token,"{'binance-smart-chain': {'decimal_place': 17, 'contract_address': '0x78650b139471520656b9e7aa7a5e9276814a38e9'}}"
redacted,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc55126051b22ebb829d00368f4b12bde432de5da'}}"
bumper,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x785c34312dfa6b74f6f1829f79ade39042222168'}}"
bunicorn,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x0e7beec376099429b85639eb3abe7cf22694ed49'}}"
pancake-bunny,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51'}}"
burger-swap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xae9269f27437f0fcbc232d39ec814844a51d6b8f'}}"
bxh,"{'huobi-token': {'decimal_place': 18, 'contract_address': '0xcbd6cb9243d8e3381fea611ef023e17d1b7aedf0'}}"
